"Account","Stage","Amount","OppId","CurrentPath","NewFolder","NewFile","HubPage","Issues"
"UNKNOWN",,,,"Gros LP","UNKNOWN","Gros LP.md","UNKNOWN\UNKNOWN.md",""
"Haberle Steel, Inc","Negotiation","$30,000.00","006Nu00000b4Hv6IAE","Haberle Steel, Inc","Haberle Steel, Inc","Haberle Steel, Inc.md","Haberle Steel, Inc\Haberle Steel, Inc.md",""
"UNKNOWN",,,,"Hadco Metal Trading Co, LLC - Bensalem, PA","UNKNOWN","Bensalem, PA.md","UNKNOWN\UNKNOWN.md",""
"UNKNOWN",,,,"Hale Trailer Brake and Wheel - Allentown, PA","UNKNOWN","Allentown, PA.md","UNKNOWN\UNKNOWN.md",""
"Hanwha Philly Shipyard","Negotiation","$1,092,365.00","006Nu00000SKcp1IAD","Hanwha Philly Shipyard","Hanwha Philly Shipyard","Hanwha Philly Shipyard.md","Hanwha Philly Shipyard\Hanwha Philly Shipyard.md",""
"UNKNOWN",,,,"Hovus","UNKNOWN","Hovus.md","UNKNOWN\UNKNOWN.md",""
"UNKNOWN",,,,"Human Active Technology","UNKNOWN","Human Active Technology.md","UNKNOWN\UNKNOWN.md",""
"UNKNOWN",,,,"Hygrade Components","UNKNOWN","Hygrade Components.md","UNKNOWN\UNKNOWN.md",""
"UNKNOWN",,,,"IDAC","UNKNOWN","IDAC.md","UNKNOWN\UNKNOWN.md",""
"UNKNOWN",,,,"J.I. Landis Welding and Mechanical, Inc","UNKNOWN","J.I. Landis Welding and Mechanical, Inc.md","UNKNOWN\UNKNOWN.md",""
"James Cox & Sons","Active Project","—","006Nu00000JOjM2IAL","James Cox and Sons","James Cox & Sons","James Cox and Sons.md","James Cox & Sons\James Cox & Sons.md",""
"UNKNOWN",,,,"Jost Iron Works","UNKNOWN","Jost Iron Works.md","UNKNOWN\UNKNOWN.md",""
"Kelly Iron Works, Inc.","Discovery","$1,200,000.00","006Nu00000Dujm9IAB","Kelly Iron Works, Inc","Kelly Iron Works, Inc","Kelly Iron Works, Inc.md","Kelly Iron Works, Inc\Kelly Iron Works, Inc.md",""
"KGM Gaming","Discovery","$120,000.00","006Nu00000VrRzVIAV","KGM Gaming","KGM Gaming","KGM Gaming.md","KGM Gaming\KGM Gaming.md",""
"UNKNOWN",,,,"Klover Prefab","UNKNOWN","Klover Prefab.md","UNKNOWN\UNKNOWN.md",""
"UNKNOWN",,,,"KLT Group, Inc","UNKNOWN","KLT Group, Inc.md","UNKNOWN\UNKNOWN.md",""
"KxK Industries LLC","Discovery","TBD","006Nu00000Jtm98IAB","KxK Industries LLC","KxK Industries LLC","KxK Industries LLC.md","KxK Industries LLC\KxK Industries LLC.md",""
"Levan Associates Inc","Favorable","$413,248.00","0065Y00001iWubfQAC","Levan Associates Inc","Levan Associates Inc","Levan Associates Inc.md","Levan Associates Inc\Levan Associates Inc.md",""
"Lockheed Martin - King of Prussia, PA","Quoting","$129,595.00","006Nu00000IYAaWIAX","Lockheed Martin - King of Prussia, PA","Lockheed Martin - King of Prussia, PA","King of Prussia, PA.md","Lockheed Martin - King of Prussia, PA\Lockheed Martin - King of Prussia, PA.md",""
"McDal Corporation","Discovery","$200,000.00","006Nu00000Ceti2IAB","McDal Corporation","McDal Corporation","McDal Corporation.md","McDal Corporation\McDal Corporation.md",""
"Michael Addesso Marble & Granite World, Inc.","Active Project","$414,450.00","006Nu000007NFqLIAW","Michael Addesso Marble and Granite World, Inc","Michael Addesso Marble & Granite World, Inc","Michael Addesso Marble and Granite World, Inc.md","Michael Addesso Marble & Granite World, Inc\Michael Addesso Marble & Granite World, Inc.md",""
"Michelman Steel Enterprises","Discovery","TBD","006Nu00000MK5F2IAL","Michelman Steel Enterprises","Michelman Steel Enterprises","Michelman Steel Enterprises.md","Michelman Steel Enterprises\Michelman Steel Enterprises.md",""
